date,PortfolioValue_copy,PortfolioValue_copy_scaled,PortfolioValue_fund
2024-01-17 00:00:00+00:00,3097302.8808616325,3341302.0830933186,3298948.657239907
2024-01-18 00:00:00+00:00,3115046.014385688,3360535.685372937,3320166.4986982048
2024-01-19 00:00:00+00:00,3141439.630044535,3389146.4324890026,3348146.49502204
2024-01-22 00:00:00+00:00,3149571.4758279016,3397961.3741893745,3358087.6920378767
2024-01-23 00:00:00+00:00,3157088.5869074194,3406109.9418929955,3366586.527169065
2024-01-24 00:00:00+00:00,3158245.3036454795,3407363.8258058834,3369183.8017779444
2024-01-25 00:00:00+00:00,3163910.353712147,3413504.754618073,3374533.651896304
2024-01-26 00:00:00+00:00,3168547.5824211687,3418531.5224405676,3377250.0774458856
2024-01-29 00:00:00+00:00,3181805.942704408,3432903.6190165174,3393169.4837400555
2024-01-30 00:00:00+00:00,3193222.9463522066,3445279.6802736227,3403903.7268151282
2024-01-31 00:00:00+00:00,3158336.5066458583,3407462.690092375,3366544.7089943322
2024-02-01 00:00:00+00:00,3188900.3437961806,3440593.9680084954,3401687.036534257
2024-02-02 00:00:00+00:00,3203550.1815207456,3456474.4297022093,3417289.7923683734
2024-02-05 00:00:00+00:00,3198394.043478518,3450885.1628306867,3411083.93541145
2024-02-06 00:00:00+00:00,3197664.138967586,3450093.944467463,3410063.9176697335
2024-02-07 00:00:00+00:00,3219090.467047604,3473320.1390990335,3434324.0480158115
2024-02-08 00:00:00+00:00,3229006.9982392797,3484069.684362588,3446874.2735860753
2024-02-09 00:00:00+00:00,3237963.2162045995,3493778.2476240313,3457301.203998976
2024-02-12 00:00:00+00:00,3235580.3820645334,3491195.249300415,3451033.8752476093
2024-02-13 00:00:00+00:00,3204718.5490913126,3457740.943147437,3417149.2914487007
2024-02-14 00:00:00+00:00,3204718.5490913126,3457740.943147437,3451313.7138608056
2024-02-15 00:00:00+00:00,3224809.9839454964,3479530.8955926695,3472170.4510336197
2024-02-16 00:00:00+00:00,3217311.588159934,3471398.5900222235,3464338.804511324
2024-02-20 00:00:00+00:00,3213723.7056174115,3467507.3900881195,3459179.986967445
2024-02-21 00:00:00+00:00,3222997.187750149,3477564.8467178033,3468460.3071434675
2024-02-22 00:00:00+00:00,3265980.6471203524,3524182.101403983,3516925.1028654263
2024-02-23 00:00:00+00:00,3270237.4014947442,3528798.7191847535,3521642.7572633303
2024-02-26 00:00:00+00:00,3257945.9993406446,3515468.2094244077,3508915.507442584
2024-02-27 00:00:00+00:00,3256837.1417293167,3514265.609670099,3507379.2285903776
2024-02-28 00:00:00+00:00,3249934.813071927,3506779.762377586,3499932.6276747496
2024-02-29 00:00:00+00:00,3250454.3080025776,3507343.1750913407,3500373.1059155464
2024-03-01 00:00:00+00:00,3273682.6125975596,3532535.1863230625,3527001.469789856
2024-03-04 00:00:00+00:00,3270039.216397251,3528583.779640561,3523534.5546246488
2024-03-05 00:00:00+00:00,3247680.4132063948,3504334.776928861,3498558.8332883706
2024-03-06 00:00:00+00:00,3267064.3487834567,3525357.418541621,3519898.137065625
2024-03-07 00:00:00+00:00,3281930.2760780435,3541480.1022202275,3536909.725295851
2024-03-08 00:00:00+00:00,3266974.2947977358,3525259.7514471295,3519306.9916108586
2024-03-11 00:00:00+00:00,3268466.5400184337,3526878.150164375,3519303.606845031
2024-03-12 00:00:00+00:00,3283869.6372266365,3543583.4157719305,3537116.4542237157
2024-03-13 00:00:00+00:00,3290841.7196454434,3551144.9137661066,3544062.725585353
2024-03-14 00:00:00+00:00,3285882.5094933826,3545766.45502667,3539395.767064334
2024-03-15 00:00:00+00:00,3273533.367538168,3532373.3241778035,3525486.3741443367
2024-03-18 00:00:00+00:00,3284484.1293983455,3544249.85673529,3537601.252456982
2024-03-19 00:00:00+00:00,3305692.0505786883,3567250.68257654,3560329.7977337274
2024-03-20 00:00:00+00:00,3321891.8610049984,3584820.0150494543,3578106.1202513534
2024-03-21 00:00:00+00:00,3320859.586684485,3583700.472890436,3578077.8913398334
