date,PortfolioValue
2015-07-22 00:00:00+00:00,1211688.084115271
2015-07-23 00:00:00+00:00,1212507.7364823427
2015-07-24 00:00:00+00:00,1200746.5741022052
2015-07-27 00:00:00+00:00,1193622.3125786316
2015-07-28 00:00:00+00:00,1209817.9979007097
2015-07-29 00:00:00+00:00,1215704.0968797472
2015-07-30 00:00:00+00:00,1216545.6892788045
2015-07-31 00:00:00+00:00,1214321.8395853708
2015-08-03 00:00:00+00:00,1216317.4232757208
2015-08-04 00:00:00+00:00,1218620.3085918569
2015-08-05 00:00:00+00:00,1216045.7054567048
2015-08-06 00:00:00+00:00,1211219.1627665828
2015-08-07 00:00:00+00:00,1209513.3789879219
2015-08-10 00:00:00+00:00,1220053.4943802068
2015-08-11 00:00:00+00:00,1212142.8513006927
2015-08-12 00:00:00+00:00,1211765.9139682292
2015-08-13 00:00:00+00:00,1214955.0193799967
2015-08-14 00:00:00+00:00,1214955.0193799967
2015-08-17 00:00:00+00:00,1221125.9128022855
2015-08-18 00:00:00+00:00,1220389.1726880302
2015-08-19 00:00:00+00:00,1214058.4084373382
2015-08-20 00:00:00+00:00,1191000.5925530572
2015-08-21 00:00:00+00:00,1158458.7788447277
2015-08-24 00:00:00+00:00,1123909.591858768
2015-08-25 00:00:00+00:00,1116208.1122940148
2015-08-26 00:00:00+00:00,1144329.8807433206
2015-08-27 00:00:00+00:00,1162238.0507648126
2015-08-28 00:00:00+00:00,1166087.1763857915
2015-08-31 00:00:00+00:00,1165441.5499830493
2015-09-01 00:00:00+00:00,1140903.6950250329
2015-09-02 00:00:00+00:00,1159597.1440096952
2015-09-03 00:00:00+00:00,1159954.1581950327
2015-09-04 00:00:00+00:00,1149295.3364617177
2015-09-08 00:00:00+00:00,1170854.0175048816
2015-09-09 00:00:00+00:00,1163286.995838751
2015-09-10 00:00:00+00:00,1168922.722575313
2015-09-11 00:00:00+00:00,1171994.1944424897
2015-09-14 00:00:00+00:00,1174072.5529167245
2015-09-15 00:00:00+00:00,1183922.9734457158
2015-09-16 00:00:00+00:00,1192590.5817247857
2015-09-17 00:00:00+00:00,1192990.6704264302
2015-09-18 00:00:00+00:00,1174450.5563053354
2015-09-21 00:00:00+00:00,1177326.26414624
2015-09-22 00:00:00+00:00,1159876.0433068983
2015-09-23 00:00:00+00:00,1156905.5174301355
2015-09-24 00:00:00+00:00,1147561.5321902698
2015-09-25 00:00:00+00:00,1144862.81406492
2015-09-28 00:00:00+00:00,1100270.736901119
2015-09-29 00:00:00+00:00,1094666.7553162216
2015-09-30 00:00:00+00:00,1116064.7999019665
2015-10-01 00:00:00+00:00,1124644.4562950241
2015-10-02 00:00:00+00:00,1136355.77515137
2015-10-05 00:00:00+00:00,1154242.3814379354
